Description,Brand,Price,Img url,Country
Domty Creamy Cheese With Roumy - 220 Gram,Domty,54.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h20/he4/13012558741534/539028_main.jpg_200Wx200H,Egypt
Domty Istanboly Cheese - 250gm,Domty,18.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2e/h42/9802652155934/11838_main.jpg_200Wx200H,Egypt
Domty Spread Cheese With Olives - 380gm,Domty,112.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb0/h71/9286862962718/380436_main.jpg_200Wx200H,Egypt
Domty Feta Plus Cheese With Pastrami - 220 gram,Domty,54.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha3/hae/29979175714846/587015_main.jpg_200Wx200H,Egypt
Domty Creamy Cheese With Paprika - 220 gm,Domty,54.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h41/hf7/9802655006750/457070_main.jpg_200Wx200H,Egypt
Domty Creamy Cheese with Pastrami - 380 gram,Domty,112.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h76/h4c/33435474427934/587018_main.jpg_200Wx200H,Egypt
Domty Creamy Cheese With Paprika - 380gm,Domty,112.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4a/ha5/9932856852510/457075_main.jpg_200Wx200H,Egypt
Domty Light White Cheese - 500 gram,Domty,86.65 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb3/h14/49772005916702/200Wx200H_577775_main.jpg,Egypt
Katilo Natural Domiaty Cheese - 1Kg,Unknown,261.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h04/h9a/9286930530334/488919_main.jpg_200Wx200H,Egypt
Katilo Creamy Cheese 250G,Unknown,64.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h1a/h98/31258525302814/488917_main.jpg_200Wx200H,Egypt
Katilo Roomy Cheese Pure - 300 gram,Unknown,167.30 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6f/h8a/51975642021918/200Wx200H_609436_main.jpg,Egypt
Katilo Roomy Cheese Spread - 500 gram,Unknown,172.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc8/he2/50133375352862/200Wx200H_601462_main.jpg,Egypt
Katilo Roumy Cheese Spread - 250 gram,Unknown,91.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc3/hb9/50356818771998/200Wx200H_601461_main.jpg,Egypt
Dina Farms Pure Ghee - 600 gram,Dina Farms,235.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hba/h47/49727382224926/200Wx200H_611415_main.jpg,Egypt
