Description,Brand,Price,Img url,Country
Knorr Beef Flavored cubes - 12 Cubes,Knorr,10.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h83/h9e/49521895735326/200Wx200H_557027_main.jpg,Egypt
El Doha Black Eyed Peas - 500 Gram,El Doha,83.65 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7b/hcb/34710141960222/17985_main.jpg_200Wx200H,Egypt
Abu Auf Maamoul With Megdoul Dates And Cinnamon - 12 Pieces,Abu auf,36.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha5/h4b/27008506560542/524185_main.jpg_200Wx200H,Egypt
BiscoMisr Luxe Max Tea Biscuits - 9 Pieces - 12 Pieces,Biscomisr,50.40 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hda/h45/14596338745374/337101_main.jpg_200Wx200H,Egypt
Bab Elsham Black Pepper Powder - 45 gram,Bab El Sham,32.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h78/h10/34530699280414/464996_main.jpg_200Wx200H,Egypt
El Rashidi El Mizan Tahina - 225 gram,El rashidi el mizan,46.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf8/h83/47857084497950/200Wx200H_17568_main.jpg,Egypt
Al Doha Penne Rigate Pasta - 400 gram,El Doha,18.85 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h36/h53/34710148874270/458680_main.jpg_200Wx200H,Egypt
Bimbo Biscuit with Hazelnut - 12 Counts,Bimbo,65.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0b/hb9/49406501257246/200Wx200H_590272_main.jpg,Egypt
El Bawadi Halawa Plain - 275 gram,El bawadi,41.55 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he3/hd1/44951080206366/200Wx200H_107934_main.jpg,Egypt
Harvest Tomato Paste - 2.8Kg,Harvest,142.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd7/h14/13189845647390/297849_main.jpg_200Wx200H,Egypt
Al Ain Tomato Paste - 360 gram,Al ain,23.80 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc4/h9c/13271425155102/470251_main.jpg_200Wx200H,Egypt
Crystal Corn Oil - 750ml,Crystal,70.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h92/h18/15070711152670/17721_main.jpg_200Wx200H,Egypt
Hohos Chocolate Cake Filled with Vanilla Cream - 24 gram - 24 Pieces,HoHo's,46.80 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6e/h48/49986575728670/200Wx200H_594979_main.jpg,Egypt
Al Aseel Big Rings Pasta - 300 gram,Carrefour,6.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf4/he5/48237001211934/200Wx200H_600114_main.jpg,Egypt
EL Rashidi El Mizan Molasses - 700 G,El rashidi el mizan,42.30 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h37/hab/47857220878366/200Wx200H_570894_main.jpg,Egypt
Zaeem Popcorn - 500 gram,Al zaeem,36.40 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3b/ha6/34030280605726/591251_main.jpg_200Wx200H,Egypt
Abu Auf Turkish Medium Coffee With Cardamom - 400gram,Abu auf,209.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h67/hdd/14530899378206/510177_main.jpg_200Wx200H,Egypt
Al Doha Lupin - 500 Gram,El Doha,50.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hda/hd8/34710146842654/17994_main.jpg_200Wx200H,Egypt
El Rashidi El Mizan Strawberry Jam jar - 340 grams,El rashidi el mizan,26.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h19/h77/47857084825630/200Wx200H_278884_main.jpg,Egypt
Al Duha Black Pepper - 100 gram,El Doha,55.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf1/h03/45881132056606/200Wx200H_18000_main.jpg,Egypt
Bisco Misr Nice Coconut Biscuits - 4 Pieces - 12 Pieces,Biscomisr,48.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h07/hf9/14596466671646/183354_main.jpg_200Wx200H,Egypt
Bake Rolz Pizza - 38 gram,Unknown,5.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h59/h2b/49986561802270/200Wx200H_464446_main.jpg,Egypt
N1 Fruit Rings Cereal box - 375 grams,Unknown,48.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf4/h64/14530835742750/395823_main.jpg_200Wx200H,Egypt
Crystal Vegetable White Ghee - 350 gram,Crystal,34.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h77/h99/15070719115294/333038_main.jpg_200Wx200H,Egypt
Sinbad Mixed Oil - 700ml - 12 Pieces,Unknown,575.40 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd0/h03/44768105496606/200Wx200H_584075_main.jpg,Egypt
Crystal Yellow Vegetable Ghee - 1kg,Crystal,84.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h95/h2c/49772013355038/200Wx200H_612457_main.jpg,Egypt
El Shamadan Whole Wheat Biscuit with Oat - 6 Pieces,El shamadan,33.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h06/hf0/16377243861022/460136_main.jpg_200Wx200H,Egypt
Corona Dark Chocolate - 35 grams,Corona,14.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h5a/h89/49406496079902/200Wx200H_271544_main.jpg,Egypt
El Hanim Vegetable Ghee 2.5kg,Unknown,190.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h61/h95/15070719279134/17726_main.jpg_200Wx200H,Egypt
Italiano Vermicelli Pasta - 1 KG,Italiano,40.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hcc/h05/27539138150430/544721_main.jpg_200Wx200H,Egypt
