Description,Brand,Price,Img url,Country
Chicketita Spicy Chicken Strips - 400 gram,Chicketita,86.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h14/h7f/26549668151326/534733_main.jpg_200Wx200H,Egypt
Chef Mimo Shredded Cheddar Cheese - 1 Kg,Chef mimo,102.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h26/h28/16764633284638/570081_main.jpg_200Wx200H,Egypt
Chicketita Chicken Nuggets - 1 kg,Chicketita,119.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbf/h6d/30871977623582/534738_main.jpg_200Wx200H,Egypt
Al Marai Minced Meat - 300 gram,Almarai,93.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hed/hf7/15054964260894/11517_main.jpg_200Wx200H,Egypt
Chicketita Beef Kofta - 900 gram,Chicketita,131.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2b/hc7/29401383370782/585168_main.jpg_200Wx200H,Egypt
Almarai Coarse Cut Minced Meat - 700 gm,Almarai,233.10 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hec/h1f/9802649534494/162431_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Strips - 400 gram,Halwani bros,117.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha4/h57/9802365304862/448504_main.jpg_200Wx200H,Egypt
Chicketita Jumbo Beef Burger - 1.5 Kg,Chicketita,220.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha6/hd4/9286777176094/480558_main.jpg_200Wx200H,Egypt
Farm Fresh Peas And  Carrots - 400g Gram,Farm fresh,15.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd5/h7e/14623585009694/310898_main.jpg_200Wx200H,Egypt
Givrex Mix Vegetables For Soup - 400 Gram,Givrex,16.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4d/h50/14623647596574/12160_main.jpg_200Wx200H,Egypt
Fresh Super Jumbo Quail - 2 Pieces,Fresh,91.15 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h58/h15/15337682108446/494580_main.jpg_200Wx200H,Egypt
Givrex Mixed Vegetables - 400 Gram,Givrex,16.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h44/h91/14623551160350/12159_main.jpg_200Wx200H,Egypt
Basma Frozen Whole Strawberry - 400 gram,Basma,13.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc3/h05/14818564440094/11660_main.jpg_200Wx200H,Egypt
Halwani Bros Chicken Pane - 400 gram,Halwani bros,103.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3f/h90/9802651992094/38056_main.jpg_200Wx200H,Egypt
Meatland Beef Burger - 25 Pieces,Meatland,131.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7d/h4b/15085632323614/366476_main.jpg_200Wx200H,Egypt
Temry Chicken Strips Spicy - 400gm,Unknown,109.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb3/h9b/49521994956830/200Wx200H_606986_main.jpg,Egypt
Halwani Bros Crunchy Spicy Chicken Strips - 400 gram,Halwani bros,117.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h68/h37/14773448015902/448251_main.jpg_200Wx200H,Egypt
Sea Star Smoked Salmon - 100 Gram,Sea star,215.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h51/h45/14623553224734/230948_main.jpg_200Wx200H,Egypt
Shahd Whole Chicken - 900-950 gram,Shahd,132.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h9c/h94/50736395223070/200Wx200H_226633_main.jpg,Egypt
Chtaura Golash - 350 gram,Chtoora,22.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc9/hea/26947181510686/568537_main.jpg_200Wx200H,Egypt
